,Brand,All_vegan,Partial_vegan,Bad_parent_company,Black_owned,Ulta,Sephora,Beauty_Bay,Cult_Beauty,Nordstrom
101,Beauty By Stony,False,False,False,True,0,0,0,0,0
102,"Beauty Chef, The",False,False,False,False,0,1,1,1,0
103,Beauty Without Cruelty,True,False,False,False,0,0,0,0,0
104,Beauty by Earth,False,False,False,False,0,0,0,0,0
105,BeautyStat Cosmetics,False,False,False,True,0,0,0,0,0
106,Beautycounter,False,False,False,False,0,0,0,0,0
107,Bedrock & Bloom,True,False,False,False,0,0,0,0,0
108,Bella Mari,True,False,False,False,0,0,0,0,0
109,BellaPierre,False,False,False,False,0,0,0,0,0
110,Ben Nye Makeup,False,False,False,False,0,0,0,0,0
111,Besamé Cosmetics,False,False,False,False,0,0,0,0,0
112,Biconi,False,False,False,False,0,0,0,0,0
113,Bili Beauty,True,False,False,False,0,0,0,0,0
114,Billie,True,False,False,False,0,0,0,0,0
115,Bio Follicle,True,False,False,False,0,0,0,0,0
116,Bio Ionic,False,False,False,False,1,1,0,1,1
117,BioClarity,True,False,False,False,1,0,0,0,0
118,Biokleen,True,False,False,False,0,0,0,0,0
119,Biom,False,False,False,False,0,0,0,0,0
120,Bite Beauty,True,False,False,False,0,1,0,0,0
121,Black Dahlia Lacquer,True,False,False,False,0,0,0,0,0
122,Black Moon Cosmetics,True,False,False,False,0,0,0,0,0
123,Black Phoenix Alchemy Lab,False,False,False,False,0,0,0,0,0
124,Blackbird Cosmetics,True,False,False,False,0,0,0,0,0
125,Blinc,False,False,False,False,0,1,1,0,0
126,Bliss,False,False,False,False,1,0,0,0,0
127,Blissoma,False,False,False,False,0,0,0,0,0
128,Blu Ink Nail Lacquer,True,False,False,False,0,0,0,0,0
129,Blue Beautifly,True,False,False,False,0,0,0,0,0
130,Blue Labelle,True,False,False,False,0,0,0,0,0
131,"Body Shop, The",False,False,False,False,1,0,0,0,0
132,"Bold Brand, The",False,False,False,True,0,0,0,0,0
133,Bon Ami,False,False,False,False,0,0,0,0,0
134,Bonne Belle,False,False,False,False,0,0,0,0,0
135,Borika Body,True,False,False,False,0,0,0,0,0
136,Boscia,False,False,False,False,1,1,0,0,0
137,Bossy Cosmetics (Bossy Lipstick),False,False,False,True,0,0,0,0,0
138,Botanic Organic,False,False,False,False,0,0,0,0,0
139,Box Naturals,True,False,False,False,0,0,0,0,0
140,Brianna’s Handmade Soap,True,False,False,False,0,0,0,0,0
141,Bright Planet,False,False,False,False,0,0,0,0,0
142,Briogeo,False,False,True,False,1,0,0,1,0
143,Bronze Buffer,True,False,False,False,0,0,0,0,0
144,Buddha Beauty,True,False,False,False,0,0,0,0,0
145,Bulldog Skincare for Men,True,False,False,False,0,0,0,0,0
146,Burke & Hare Co,True,False,False,False,0,0,0,0,0
147,Burst Oral Care,True,False,False,False,0,0,0,0,0
148,Burt’s Bees,False,False,True,False,1,1,0,0,0
149,Buxom,False,False,True,False,1,1,0,0,1
150,Bye Bye Parabens,True,False,False,False,0,0,0,0,0
151,CHI,False,False,False,False,0,0,0,0,0
152,CLOVE + HALLOW,True,False,False,False,0,0,0,0,0
153,COOLA Suncare,False,True,False,False,0,0,0,1,0
154,COOLA,False,True,False,False,1,1,0,0,1
155,CORE Cosmetics,False,False,False,False,0,0,0,0,0
156,CORPUS,True,False,False,False,0,0,0,0,0
157,CORREXIKO,False,False,False,False,0,0,0,0,0
158,COVER FX,True,False,False,False,1,1,1,1,0
159,COVERGIRL,False,False,True,False,1,0,0,0,0
